 	Label	Area	Mean	Min	Max
1	correctedImage	1	67.000	67	67
2	correctedImage	533	81.152	66	107
3	correctedImage	3	67.333	66	69
4	correctedImage	1	67.000	67	67
5	correctedImage	1	66.000	66	66
6	correctedImage	1	66.000	66	66
7	correctedImage	7	68.143	66	71
8	correctedImage	540	125.720	66	194
9	correctedImage	715	179.866	66	320
10	correctedImage	1	66.000	66	66
11	correctedImage	343	91.574	66	118
12	correctedImage	372	142.715	66	247
13	correctedImage	354	136.153	66	193
14	correctedImage	359	132.017	66	189
15	correctedImage	4607	154.746	66	357
16	correctedImage	1	67.000	67	67
17	correctedImage	1	68.000	68	68
18	correctedImage	2	66.000	66	66
19	correctedImage	20	70.700	66	79
20	correctedImage	1345	114.458	66	185
21	correctedImage	1	67.000	67	67
22	correctedImage	358	145.447	66	213
23	correctedImage	649	145.299	66	209
24	correctedImage	2092	145.306	66	244
25	correctedImage	882	192.627	66	351
26	correctedImage	949	205.381	66	377
27	correctedImage	285	97.670	66	126
28	correctedImage	823	142.363	66	267
29	correctedImage	317	105.221	66	141
30	correctedImage	1506	120.748	66	195
31	correctedImage	1391	173.350	66	322
32	correctedImage	1027	145.243	66	246
33	correctedImage	3917	131.610	66	244
34	correctedImage	736	144.938	66	218
35	correctedImage	2	66.500	66	67
36	correctedImage	918	116.692	66	177
37	correctedImage	100	68.290	66	75
38	correctedImage	1	66.000	66	66
39	correctedImage	567	98.062	66	143
40	correctedImage	4	67.250	66	69
41	correctedImage	2924	152.618	66	283
42	correctedImage	2	67.500	67	68
43	correctedImage	721	156.301	66	232
44	correctedImage	1008	177.984	66	314
45	correctedImage	1	66.000	66	66
46	correctedImage	803	146.823	66	265
47	correctedImage	11	66.818	66	69
48	correctedImage	81	68.753	66	74
49	correctedImage	495	98.479	66	140
50	correctedImage	801	205.629	66	347
51	correctedImage	1	66.000	66	66
52	correctedImage	558	80.373	66	107
53	correctedImage	1	66.000	66	66
54	correctedImage	1	67.000	67	67
55	correctedImage	1	66.000	66	66
56	correctedImage	2	66.500	66	67
57	correctedImage	9	68.000	66	70
58	correctedImage	370	150.092	66	206
59	correctedImage	2166	144.803	66	288
60	correctedImage	2	66.500	66	67
61	correctedImage	397	177.778	66	248
62	correctedImage	331	117.000	66	159
63	correctedImage	342	117.599	66	163
64	correctedImage	328	112.037	66	143
65	correctedImage	433	111.321	66	150
66	correctedImage	719	120.342	66	172
67	correctedImage	1	66.000	66	66
68	correctedImage	10	67.700	66	72
69	correctedImage	117	70.342	66	84
70	correctedImage	1	66.000	66	66
71	correctedImage	333	122.544	66	170
72	correctedImage	355	140.454	67	206
73	correctedImage	437	74.897	66	111
74	correctedImage	4	68.000	66	69
75	correctedImage	1131	148.773	66	299
76	correctedImage	345	127.513	66	169
77	correctedImage	1238	123.767	66	225
78	correctedImage	575	118.678	66	203
79	correctedImage	301	105.934	66	141
80	correctedImage	252	76.008	66	90
81	correctedImage	933	115.478	66	162
82	correctedImage	313	106.412	66	141
83	correctedImage	932	83.136	66	112
84	correctedImage	31	69.065	66	73
85	correctedImage	828	101.211	66	152
86	correctedImage	4685	131.672	66	257
87	correctedImage	945	182.807	66	292
88	correctedImage	1	66.000	66	66
89	correctedImage	1061	158.139	66	282
90	correctedImage	1	66.000	66	66
91	correctedImage	320	100.822	66	144
92	correctedImage	694	144.745	66	236
93	correctedImage	354	140.319	66	190
94	correctedImage	18	67.444	66	70
95	correctedImage	1	67.000	67	67
96	correctedImage	5782	162.181	66	293
97	correctedImage	1	66.000	66	66
98	correctedImage	254	80.657	66	104
99	correctedImage	329	110.277	67	142
100	correctedImage	3003	94.855	66	170
101	correctedImage	1	66.000	66	66
102	correctedImage	4407	127.335	66	261
103	correctedImage	384	128.169	66	187
104	correctedImage	283	85.166	66	113
105	correctedImage	1164	130.148	66	205
106	correctedImage	1	66.000	66	66
107	correctedImage	617	193.861	66	335
108	correctedImage	386	174.389	66	240
109	correctedImage	5	68.200	66	70
110	correctedImage	2264	135.776	66	266
111	correctedImage	293	98.560	66	135
112	correctedImage	4	68.000	66	69
113	correctedImage	635	117.408	66	188
114	correctedImage	353	135.705	66	207
115	correctedImage	2159	172.469	66	283
116	correctedImage	1809	120.129	66	244
117	correctedImage	1812	122.603	66	252
118	correctedImage	323	108.486	66	148
119	correctedImage	617	114.903	66	177
120	correctedImage	273	92.377	66	117
121	correctedImage	14	67.857	66	71
122	correctedImage	9	69.000	67	74
123	correctedImage	637	116.670	67	174
124	correctedImage	5509	138.889	66	307
125	correctedImage	665	141.731	66	207
126	correctedImage	336	124.500	66	165
127	correctedImage	1124	123.451	66	202
128	correctedImage	313	107.051	66	143
129	correctedImage	625	119.885	66	178
130	correctedImage	1225	101.143	66	179
131	correctedImage	272	83.018	66	109
132	correctedImage	319	111.063	67	152
133	correctedImage	1172	128.633	66	228
134	correctedImage	1	66.000	66	66
135	correctedImage	1515	166.425	66	290
136	correctedImage	2875	138.333	66	262
137	correctedImage	518	81.232	66	109
138	correctedImage	1278	122.969	66	187
139	correctedImage	1	66.000	66	66
140	correctedImage	1281	220.687	66	360
141	correctedImage	2065	140.972	66	239
142	correctedImage	341	128.956	67	171
143	correctedImage	1036	157.160	66	259
144	correctedImage	366	140.393	66	193
145	correctedImage	1	67.000	67	67
146	correctedImage	292	96.575	66	123
147	correctedImage	1675	176.914	66	286
148	correctedImage	301	94.754	66	122
149	correctedImage	3120	91.706	66	132
150	correctedImage	1414	134.774	66	224
151	correctedImage	1	66.000	66	66
152	correctedImage	590	131.544	66	192
153	correctedImage	3	67.333	66	68
154	correctedImage	57	72.070	66	81
155	correctedImage	316	98.402	66	143
156	correctedImage	1939	134.821	66	231
157	correctedImage	915	107.408	66	185
158	correctedImage	708	117.282	66	178
159	correctedImage	1361	150.360	66	264
160	correctedImage	260	86.142	66	112
161	correctedImage	24	71.000	67	80
162	correctedImage	1	66.000	66	66
163	correctedImage	355	104.817	66	142
164	correctedImage	581	126.088	66	232
165	correctedImage	1258	99.062	66	166
166	correctedImage	1051	104.430	66	161
167	correctedImage	5	66.200	66	67
168	correctedImage	1	66.000	66	66
169	correctedImage	1	66.000	66	66
170	correctedImage	1	67.000	67	67
171	correctedImage	379	123.380	66	171
172	correctedImage	382	167.552	66	242
173	correctedImage	366	122.098	66	163
174	correctedImage	431	185.898	66	270
175	correctedImage	1701	164.949	66	314
176	correctedImage	691	150.378	66	260
177	correctedImage	2257	136.154	66	249
178	correctedImage	170	73.782	66	89
179	correctedImage	1	66.000	66	66
180	correctedImage	1235	164.181	66	266
181	correctedImage	405	97.704	66	134
182	correctedImage	941	135.930	66	209
183	correctedImage	360	145.789	67	216
184	correctedImage	5	67.200	66	71
185	correctedImage	1	66.000	66	66
186	correctedImage	388	179.090	66	254
187	correctedImage	1298	136.072	66	253
188	correctedImage	1415	133.094	66	237
189	correctedImage	307	99.098	66	123
190	correctedImage	277	81.181	66	94
191	correctedImage	7	67.429	66	69
192	correctedImage	305	105.305	66	132
193	correctedImage	1	66.000	66	66
194	correctedImage	1399	156.853	66	275
195	correctedImage	1375	106.263	66	172
196	correctedImage	491	81.175	66	118
197	correctedImage	886	105.520	66	151
198	correctedImage	330	116.315	66	162
199	correctedImage	1	66.000	66	66
200	correctedImage	3370	149.521	66	260
201	correctedImage	282	87.369	66	105
202	correctedImage	6633	115.390	66	230
203	correctedImage	407	121.366	66	176
204	correctedImage	2385	167.569	66	262
205	correctedImage	312	106.054	67	137
206	correctedImage	711	163.319	66	265
207	correctedImage	1268	104.800	66	153
208	correctedImage	314	103.879	66	136
209	correctedImage	283	87.541	66	116
210	correctedImage	547	104.810	66	163
211	correctedImage	350	125.911	66	170
212	correctedImage	931	134.472	66	208
213	correctedImage	207	76.947	66	94
214	correctedImage	2499	145.502	66	256
215	correctedImage	365	103.162	66	137
216	correctedImage	655	140.769	66	238
217	correctedImage	356	152.500	66	237
218	correctedImage	1105	118.496	66	193
219	correctedImage	624	163.378	66	242
220	correctedImage	312	97.657	66	128
221	correctedImage	1	67.000	67	67
222	correctedImage	605	108.838	66	148
223	correctedImage	295	97.559	66	133
224	correctedImage	711	172.820	66	284
225	correctedImage	297	92.838	66	125
226	correctedImage	604	134.892	66	220
227	correctedImage	1723	142.810	66	236
228	correctedImage	1015	137.405	66	216
229	correctedImage	340	85.441	66	126
230	correctedImage	734	173.614	66	267
231	correctedImage	2854	140.341	66	267
232	correctedImage	209	74.746	66	92
233	correctedImage	656	168.430	66	246
